"region","category","total_sales","total_profit"
"Central","Technology","170416.31","33697.43"
"Central","Office Supplies","167026.42","8879.98"
"Central","Furniture","163797.16","-2871.05"
"East","Technology","264973.98","47462.04"
"East","Furniture","208291.2","3046.17"
"East","Office Supplies","205516.05","41014.58"
"South","Technology","148771.91","19991.83"
"South","Office Supplies","125651.31","19986.39"
"South","Furniture","117298.68","6771.21"
"West","Furniture","252612.74","11504.95"
"West","Technology","251991.83","44303.65"
"West","Office Supplies","220853.25","52609.85"
